IngredientsCleaned,IngredientCount,Proportion
salt,56,0.56
sugar,52,0.52
cheese,44,0.44
pepper,42,0.42
oil,31,0.31
chopped,28,0.28
sauce,27,0.27
minced,24,0.24
sliced,23,0.23
flour,22,0.22
